adm1.x,adm2.x,adm1.y,adm2.y,adm1.distance,adm2.distance,distance,accepted
Caue,Fraternidade,Caue,Fraternidade,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Agua Grande,Fundacao Popular,Agua Grande,Fundacao Popular,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Galo Canta,Mezochi,Galo Canta,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lemba,Generosa,Lemba,Generosa,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Gleba,Mezochi,Gleba,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Cantagalo,Guegue,Cantagalo,Guegue,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Agua Grande,Hospital,Agua Grande,Hospital,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Ilheu,Lobata,Ilheu,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Java,Mezochi,Java,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Laranjeiras,Lobata,Laranjeiras,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lemba,Lemba,Lemba,Lemba,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Liba Doque,Mezochi,Liba Doque,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Maianco,Lobata,Maianco,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Maiaua,Lobata,Maiaua,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lemba,Manuel Morais,Lemba,Manuel Morais,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Margao,Mezochi,Margao,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lemba,Maria Luisa,Lemba,Maria Luisa,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Matias Pina,Lobata,Matias Pina,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Melhorada,Mezochi,Melhorada,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Cantagalo,Mendes da Silva,Cantagalo,Mendes da Silva,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Mesquita,Lobata,Mesquita,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Cantagalo,Micondo,Cantagalo,Micondo,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Milagrosa,Mezochi,Milagrosa,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Montalvao,Mezochi,Montalvao,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Cantagalo,Monte Belo,Cantagalo,Monte Belo,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Monte Cafe,Mezochi,Monte Cafe,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Monte Carmo,Lobata,Monte Carmo,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lemba,Monte Forte,Lemba,Monte Forte,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Monte Leao,Mezochi,Monte Leao,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Monte Macaco,Lobata,Monte Macaco,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Caue,Monte Mario,Caue,Monte Mario,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Principe,Nova Estrela,Principe,Nova Estrela,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Nova Moca,Mezochi,Nova Moca,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Cantagalo,Nova Olinda,Cantagalo,Nova Olinda,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Novo Destino,Mezochi,Novo Destino,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Obo Angolar,Lobata,Obo Angolar,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Obo Coelho,Mezochi,Obo Coelho,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Principe,Oque Daniel,Principe,Oque Daniel,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
