adm1.x,adm2.x,adm1.y,adm2.y,adm1.distance,adm2.distance,distance,accepted
Caue,Vila Clotilde,Caue,Vila Clotilde,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Agua Grande,Vila Fernanda,Agua Grande,Vila Fernanda,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Caue,Vila Malanza,Caue,Vila Malanza,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Agua Grande,Vila Maria,Agua Grande,Vila Maria,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Vua Sata,Mezochi,Vua Sata,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Cantagalo,Zandrigo,Cantagalo,Zandrigo,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Agua Grande,Atras da Cadeia*,Agua Grande,Atras da Cadeia,5.55111512312578e-17,0.0208333333333334,0.0208333333333334,Yes
Agua Grande,Campo de Milho*,Agua Grande,Campo de Milho,5.55111512312578e-17,0.0222222222222222,0.0222222222222223,Yes
Agua Grande,Praia Lochinga*,Agua Grande,Praia Lochinga,5.55111512312578e-17,0.0222222222222222,0.0222222222222223,Yes
Lemba,Santa Clotilde,Lemba,Santa Coltilde,5.55111512312578e-17,0.0238095238095238,0.0238095238095238,Yes
Agua Grande,Vila Fernanda*,Agua Grande,Vila Fernanda,5.55111512312578e-17,0.0238095238095238,0.0238095238095238,Yes
Mezochi,Coconja Cuto,Mezochi,Cocondja Cuto,5.55111512312578e-17,0.0256410256410256,0.0256410256410257,Yes
Cantagalo,Praia Concon*,Cantagalo,Praia Concon,5.55111512312578e-17,0.0256410256410256,0.0256410256410257,Yes
Agua Grande,Praia Nazare*,Agua Grande,Praia Nazare,5.55111512312578e-17,0.0256410256410256,0.0256410256410257,Yes
Mezochi,Diogo Simao*,Mezochi,Diogo Simao,5.55111512312578e-17,0.0277777777777779,0.0277777777777779,Yes
Lobata,Oque Maquina,Lobata,OqueMaquina,5.55111512312578e-17,0.0277777777777779,0.0277777777777779,Yes
Cantagalo,Picao Velho*,Cantagalo,Picao Velho,5.55111512312578e-17,0.0277777777777779,0.0277777777777779,Yes
Mezochi,Poto Correia,Mezochi,Poto Coreia,5.55111512312578e-17,0.0277777777777779,0.0277777777777779,Yes
Caue,Angra Toldo,Caue,AngraToldo,5.55111512312578e-17,0.0303030303030303,0.0303030303030304,Yes
Mezochi,Cabeca Cal*,Mezochi,Cabeca Cal,5.55111512312578e-17,0.0303030303030303,0.0303030303030304,Yes
Lobata,Laranjeira,Lobata,Laranjeiras,5.55111512312578e-17,0.0303030303030303,0.0303030303030304,Yes
Mezochi,Liba D´oque,Mezochi,Liba Doque,5.55111512312578e-17,0.0303030303030303,0.0303030303030304,Yes
Cantagalo,Picao Flor*,Cantagalo,Picao Flor,5.55111512312578e-17,0.0303030303030303,0.0303030303030304,Yes
Agua Grande,Ponta Mina*,Agua Grande,Ponta Mina,5.55111512312578e-17,0.0303030303030303,0.0303030303030304,Yes
Agua Grande,Praia Cruz*,Agua Grande,Praia Cruz,5.55111512312578e-17,0.0303030303030303,0.0303030303030304,Yes
Agua Grande,Vila Maria*,Agua Grande,Vila Maria,5.55111512312578e-17,0.0303030303030303,0.0303030303030304,Yes
Mezochi,Amparo II*,Mezochi,Amparo II,5.55111512312578e-17,0.0333333333333334,0.0333333333333335,Yes
Agua Grande,Boa Morte*,Agua Grande,Boa Morte,5.55111512312578e-17,0.0333333333333334,0.0333333333333335,Yes
Agua Grande,Budo Budo*,Agua Grande,Budo Budo,5.55111512312578e-17,0.0333333333333334,0.0333333333333335,Yes
Mezochi,Cachoeira*,Mezochi,Cachoeira,5.55111512312578e-17,0.0333333333333334,0.0333333333333335,Yes
Agua Grande,Cruz Mami*,Agua Grande,Cruz Mami,5.55111512312578e-17,0.0333333333333334,0.0333333333333335,Yes
Lemba,Diogo Vaz*,Lemba,Diogo Vaz,5.55111512312578e-17,0.0333333333333334,0.0333333333333335,Yes
Mezochi,Melhorada*,Mezochi,Melhorada,5.55111512312578e-17,0.0333333333333334,0.0333333333333335,Yes
Mezochi,Pau Qiabo,Mezochi,Pau Quiabo,5.55111512312578e-17,0.0333333333333334,0.0333333333333335,Yes
Mezochi,Pau Sabao*,Mezochi,Pau Sabao,5.55111512312578e-17,0.0333333333333334,0.0333333333333335,Yes
Lobata,Planca II,Lobata,Plancas II,5.55111512312578e-17,0.0333333333333334,0.0333333333333335,Yes
Principe,Praia Compainha,Principe,Praia Companhia,5.55111512312578e-17,0.0333333333333334,0.0333333333333335,Yes
Lobata,Ubua Cabra,Lobata,Uba Cabra,5.55111512312578e-17,0.0333333333333334,0.0333333333333335,Yes
Caue,Angra Toldo Praia,Caue,Angra Toldo (Praia),5.55111512312578e-17,0.0350877192982456,0.0350877192982457,Yes
